ERROR 2025-01-17 16:11:13,262 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:11:37,704 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:11:39,121 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:12:27,202 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:12:45,622 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:14:31,761 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:19:43,278 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:19:44,584 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:21:30,105 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:21:44,577 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:21:46,420 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:22:54,858 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:22:56,520 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:26:10,467 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:26:12,477 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:27:41,006 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:27:42,423 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:45:52,513 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
